Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

01:03:02 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:03:03 AM     all     22.94      0.00      5.74      0.00      0.00      0.75      0.50      0.00      0.00     70.07
01:03:04 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:03:05 AM     all     25.00      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     73.75
01:03:06 AM     all     25.13      0.00      0.00      0.00      0.00      0.50      0.25      0.00      0.00     74.12
01:03:07 AM     all     25.19      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     73.57
01:03:08 AM     all     25.19      0.00      0.00      0.25      0.00      0.25      0.00      0.00      0.00     74.31
01:03:09 AM     all     19.05      0.00     10.53      0.00      0.00      0.75      0.25      0.00      0.00     69.42
01:03:10 AM     all     25.19      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.57
01:03:11 AM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.12
01:03:12 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:03:13 AM     all     25.19      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.80
01:03:14 AM     all     24.75      0.00      1.00      0.00      0.00      0.50      0.00      0.00      0.00     73.75
01:03:15 AM     all     24.81      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.19
01:03:16 AM     all     24.18      0.00      0.76      0.00      0.00      0.50      0.00      0.00      0.00     74.56
01:03:17 AM     all     25.19      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     73.32
01:03:18 AM     all     24.87      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:03:19 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.12
01:03:20 AM     all     25.19      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.82
01:03:21 AM     all     25.06      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     73.68
01:03:22 AM     all     10.83      0.00     50.63      1.26      0.00      0.50      0.25      0.00      0.00     36.52
01:03:23 AM     all      5.56      0.00     86.87      5.05      0.00      0.51      0.00      0.00      0.00      2.02
01:03:24 AM     all      2.49      0.00     94.03      1.24      0.00      0.50      0.25      0.00      0.00      1.49
01:03:25 AM     all      3.53      0.00     92.70      1.26      0.00      0.50      0.00      0.00      0.00      2.02
01:03:26 AM     all      3.23      0.00     93.28      1.49      0.00      0.50      0.25      0.00      0.00      1.24
01:03:27 AM     all      6.73      0.00     89.28      1.25      0.00      0.50      0.00      0.00      0.00      2.24
01:03:28 AM     all      4.52      0.00     92.21      1.01      0.00      0.25      0.00      0.00      0.00      2.01
01:03:29 AM     all      3.74      0.00     92.77      1.25      0.00      0.50      0.25      0.00      0.00      1.50
01:03:30 AM     all      3.24      0.00     92.52      1.50      0.00      0.50      0.00      0.00      0.00      2.24
01:03:31 AM     all      3.27      0.00     92.95      1.26      0.00      0.50      0.25      0.00      0.00      1.76
01:03:32 AM     all      4.21      0.00     93.07      0.99      0.00      0.25      0.00      0.00      0.00      1.49
01:03:33 AM     all     10.97      0.00     81.05      2.74      0.00      0.75      0.25      0.00      0.00      4.24
01:03:34 AM     all      3.26      0.00     93.98      1.00      0.00      0.25      0.00      0.00      0.00      1.50
01:03:35 AM     all      4.49      0.00     90.27      1.75      0.00      0.50      0.00      0.00      0.00      2.99
01:03:36 AM     all      4.00      0.00     91.75      1.75      0.00      0.50      0.25      0.00      0.00      1.75
01:03:37 AM     all      6.25      0.00     90.00      1.50      0.00      0.50      0.00      0.00      0.00      1.75
01:03:38 AM     all      6.00      0.00     90.75      1.25      0.00      0.25      0.25      0.00      0.00      1.50
01:03:39 AM     all      3.99      0.00     92.27      1.25      0.00      0.50      0.00      0.00      0.00      2.00
01:03:40 AM     all      2.49      0.00     94.26      1.25      0.00      0.50      0.25      0.00      0.00      1.25
01:03:41 AM     all      6.93      0.00     89.11      1.73      0.00      0.50      0.00      0.00      0.00      1.73
01:03:42 AM     all      6.48      0.00     86.53      2.49      0.00      0.25      0.25      0.00      0.00      3.99
01:03:43 AM     all      3.77      0.00     91.96      1.76      0.00      0.50      0.00      0.00      0.00      2.01
01:03:44 AM     all      5.75      0.00     91.00      1.00      0.00      0.50      0.00      0.00      0.00      1.75
01:03:45 AM     all      4.46      0.00     90.84      1.24      0.00      0.50      0.25      0.00      0.00      2.72
01:03:46 AM     all      3.27      0.00     92.96      1.26      0.00      0.50      0.00      0.00      0.00      2.01
01:03:47 AM     all      2.74      0.00     94.03      1.24      0.00      0.25      0.25      0.00      0.00      1.49
01:03:48 AM     all      3.51      0.00     92.98      1.50      0.00      0.50      0.00      0.00      0.00      1.50
01:03:49 AM     all      6.98      0.00     89.28      1.50      0.00      0.50      0.25      0.00      0.00      1.50
01:03:50 AM     all      8.89      0.00     82.22      3.46      0.00      0.49      0.00      0.00      0.00      4.94
01:03:51 AM     all      7.02      0.00     89.47      1.25      0.00      0.50      0.25      0.00      0.00      1.50
01:03:52 AM     all     13.57      0.00     53.52      0.75      0.00      0.25      0.00      0.00      0.00     31.91
01:03:53 AM     all     24.18      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     74.56
01:03:54 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:03:55 AM     all     24.87      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     74.12
01:03:56 AM     all     25.25      0.00      0.00      0.00      0.00      0.25      0.00      0.00      0.00     74.49
01:03:57 AM     all     24.81      0.00      0.25      0.25      0.00      0.50      0.25      0.00      0.00     73.93
01:03:58 AM     all     24.87      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.37
01:03:59 AM     all     24.37      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     74.37
01:04:00 AM     all     26.00      0.00      1.00      0.00      0.00      0.50      0.00      0.00      0.00     72.50
01:04:01 AM     all     24.75      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     74.00
01:04:02 AM     all     25.31      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.68
01:04:03 AM     all     26.25      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     72.75
01:04:04 AM     all     25.31      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     73.93
01:04:05 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:04:06 AM     all     23.17      0.00      0.76      0.00      0.00      0.50      0.00      0.00      0.00     75.57
01:04:07 AM     all     24.81      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     73.93
01:04:08 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:04:09 AM     all     25.00      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.00
01:04:10 AM     all     25.25      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.75
01:04:11 AM     all     24.81      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.19
01:04:12 AM     all     23.81      0.00      1.00      0.25      0.00      0.75      0.00      0.00      0.00     74.19
01:04:13 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.12
01:04:14 AM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
01:04:15 AM     all     25.00      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.00
01:04:16 AM     all     25.00      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     73.75
01:04:17 AM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.75
01:04:18 AM     all     23.68      0.00      1.01      0.00      0.00      0.50      0.25      0.00      0.00     74.56
01:04:19 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.37
01:04:20 AM     all     24.94      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.82
01:04:21 AM     all     24.75      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     74.00
01:04:22 AM     all     24.87      0.00      0.75      0.25      0.00      0.25      0.00      0.00      0.00     73.87
01:04:23 AM     all     24.94      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.82
01:04:24 AM     all     25.06      0.00      0.75      0.00      0.00      0.25      0.00      0.00      0.00     73.93
01:04:25 AM     all     11.36      0.00     56.31      2.53      0.00      0.76      0.25      0.00      0.00     28.79
01:04:26 AM     all      3.98      0.00     92.54      0.75      0.00      0.50      0.25      0.00      0.00      1.99
01:04:27 AM     all      2.74      0.00     94.01      1.00      0.00      0.50      0.00      0.00      0.00      1.75
01:04:28 AM     all      5.72      0.00     91.04      1.00      0.00      0.50      0.25      0.00      0.00      1.49
01:04:29 AM     all      4.52      0.00     91.96      1.26      0.00      0.25      0.00      0.00      0.00      2.01
01:04:30 AM     all      3.26      0.00     92.98      1.50      0.00      0.50      0.25      0.00      0.00      1.50
